subjID	wme_mask	intersect_ses-S1_task-study	intersect_ses-S2_task-test	intersect_ses-S2_task-rest	scaled_ses-S1_1	scaled_ses-S1_2	scaled_ses-S2_1	scaled_ses-S2_2	scaled_ses-S2_3	scaled_resting	decon_ses-S1_1	decon_ses-S2_1	decon_resting	ashs_L	ashs_R	reface
sub-4196	2022-03-05 23:53:31		2022-03-05 23:53:31				2022-03-05 23:53:36	2022-03-05 23:53:34	2022-03-05 23:53:33			2022-03-05 23:53:36				2022-02-28 13:35:55
sub-4197														2022-03-07 10:43:37	2022-03-07 10:43:37	2021-11-29 15:36:12
sub-4198														2022-03-07 10:47:24	2022-03-07 10:47:24	2021-11-29 15:35:58
sub-4201	2022-03-07 13:19:47		2022-03-07 13:19:47				2022-03-07 13:19:49	2022-03-07 13:19:55	2022-03-07 13:19:50			2022-03-07 13:19:50		2022-03-07 10:46:55	2022-03-07 10:46:55	2021-11-29 15:36:19
sub-4203	2022-03-07 12:24:54		2022-03-07 12:24:54				2022-03-07 12:24:56	2022-03-07 12:24:58	2022-03-07 12:24:57			2022-03-07 12:24:58		2022-03-07 10:43:46	2022-03-07 10:43:46	2022-02-11 17:29:27
sub-4206	2022-03-07 13:03:48		2022-03-07 13:03:48				2022-03-07 13:03:49	2022-03-07 13:03:50	2022-03-07 13:03:52			2022-03-07 13:03:52		2022-03-07 10:43:51	2022-03-07 10:43:51	2022-02-11 17:29:30
sub-4207	2022-03-07 13:13:22		2022-03-07 13:13:22				2022-03-07 13:13:23	2022-03-07 13:13:25	2022-03-07 13:13:24			2022-03-07 13:13:25		2022-03-07 10:43:54	2022-03-07 10:43:54	2022-02-28 13:44:52
sub-4209	2022-03-07 13:21:57		2022-03-07 13:21:57				2022-03-07 13:22:00	2022-03-07 13:22:07	2022-03-07 13:22:06			2022-03-07 13:22:00		2022-03-07 10:43:56	2022-03-07 10:43:56	2022-02-11 17:29:31
sub-4210	2022-03-24 11:32:32		2022-03-24 11:32:32				2022-03-24 11:41:06	2022-03-24 11:33:48	2022-03-24 11:40:06			2022-03-24 11:39:06		2022-03-07 10:44:00	2022-03-07 10:44:00	2022-02-28 13:44:45
sub-4212	2022-03-07 13:00:06		2022-03-07 13:00:06				2022-03-07 13:00:09	2022-03-07 13:00:08	2022-03-07 13:00:15			2022-03-07 13:00:09		2022-03-07 10:40:51	2022-03-07 10:40:51	2022-02-11 17:29:27
sub-4215														2022-03-25 09:12:51	2022-03-25 09:12:51	2022-02-28 13:45:00
sub-4216														2022-03-25 09:13:25	2022-03-25 09:13:25	2022-02-28 13:45:07
sub-4217														2022-03-25 09:13:30	2022-03-25 09:13:30	2022-02-28 13:45:14
sub-4219																2022-03-17 13:34:57
sub-4220														2022-04-07 12:01:18	2022-04-07 12:01:18	2022-03-25 09:01:20
sub-4221																2022-03-07 10:03:47
sub-4222																2022-03-17 13:35:12
sub-4223																2022-04-07 11:37:50
sub-4229																2022-04-07 11:43:37
